month, day, time, room, speaker,speaker_department,speaker_institution,speaker_url, speaker_image, title, abstract_file
1,22,3:30 PM,ELECE 101,Vyron Vellis,Department of Mathematics,University of Connecticut,https://sites.google.com/site/vyronvellis/,vellis.jpg,Metric Spaces with Good Parameterizations,vellis.txt
1,24,3:30 PM,ELECE 101,Hung Tran,Department of Mathematics and Statistics,Texas Tech University,http://www.myweb.ttu.edu/tra97432/,tran.jpg,Geometric Partial Differential Equations,tran.txt
2,11,3:00 PM,ESB 120,Stamatis Pouliasis,Department of Mathematics and Statistics,Texas Tech University,https://sites.google.com/site/stamatispouliasis/,pouliasis.jpg,Capacities and applications in complex analysis and conformal geometry,pouliasis.txt
2,12,3:30 PM,ELECE 101,Baris Coskunuzer,Mathematics Department,Boston College,https://www2.bc.edu/baris-coskunuzer/,coskunuzer.jpg,Minimal Surfaces in 3-manifolds,coskunuzer.txt
2,15,3:30 PM,ESB 120,Stephen McKeown,Department of Mathematics,Princeton University,https://www.math.princeton.edu/people/stephen-mckeown,mc_keown.jpg,Corner singularities in holography,mc_keown.txt
2,19,3:30 PM,ELECE 101,Pei Yu,Department of Applied Mathematics,Western University,http://publish.uwo.ca/~pyu/,yu.jpg,Study of Slow-Fast Motions Using Dynamical Systems Approach,yu.txt
2,21,3:30 PM,ELECE 101,Min Wang / Chunmei Wang,Department of Mathematics and Statistics,Texas Tech University,http://www.depts.ttu.edu/math/,DoubleT.jpg,An Introduction to Bayesian Hypothesis Testing in High Dimensions /  Weak Galerkin (WG) Finite Element Methods for PDEs,early_siam_1.txt
2,26,3:30 PM,ELECE 101,Amin Rahman / Cezar Lupu,Department of Mathematics and Statistics,Texas Tech University,http://www.depts.ttu.edu/math/,DoubleT.jpg,Mathematically tractable models in cancer biophysics and walking droplets /  Riemann zeta and multiple zeta values,early_siam_2.txt
3,19,3:30 PM,ELECE 101,Dean B. Lindquist,Department of Mathematics and Statistics,Texas Tech University,http://www.depts.ttu.edu/artsandsciences/DeanOffice/aboutLindquist.php,lindquist.jpg,A dynamical system for gas phase cycling in porous media,lindquist.txt
3,21,3:30 PM,ELECE 101,Pavel Bochev,Center for Computing Research,Sandia National Laboratories,https://cfwebprod.sandia.gov/cfdocs/CompResearch/templates/insert/profile.cfm?pbboche,bochev.jpg,Compatible Mesh-Free Methods,bochev.txt
4,4,3:30 PM,ELECE 101,Ken Ono,Department of Mathematics and Computer Science,Emory University,http://www.mathcs.emory.edu/~ono/,ono.jpg,Jensen–Polya Program for the Riemann Hypothesis and Related Problems,ono.txt
4,11,3:30 PM,ELECE 101,Jane Heffernan,Department of Mathematics and Statistics,York University,http://immune.math.yorku.ca/jmheffer/,heffernan.jpg,Models of Waning Immunity and Childhood Diseases,heffernan.txt
4,18,3:30 PM,ELECE 101,Charles Frohman,Department of Mathematics,University of Iowa,http://homepage.divms.uiowa.edu/~frohman/,frohman.jpg,Skeins and Characters,frohman.txt
4,25,2:30 PM,ESB 120,Lindi M. Wahl,Department of Applied Mathematics,University of Western Ontario,https://www.apmaths.uwo.ca/~lwahl/,wahl.jpg,Stochastic Modelling of the Within-host Evolution of Influenza,wahl.txt
4,25,4:00 PM,ELECE 101,Jichun Li,Department of Mathematical Sciences, University of Nevada Las Vegas,http://jichun.faculty.unlv.edu/,li.jpg,Mathematical Analysis and Finite Element Simulation of Invisibility Cloaks,li.txt
4,30,3:30 PM,ELECE 101,Ivan C. Christov,Department of Mechanical Engineering,Purdue University,https://engineering.purdue.edu/ME/People/ptProfile?resource_id=134738,christov.jpg,From microchannels to blood vessels: A mathematical modeling perspective on flow in soft conduits,christov.txt
5,2,3:30 PM,ELECE 101,Adrian Zahariuc,Department of Mathematics,University of California – Davis,https://www.math.ucdavis.edu/~azahariuc/,zahariuc.jpg,Severi varieties of projective surfaces,zahariuc.txt
